Date,Calories
2024-03-03,2150
2024-03-04,1980
2024-03-04,2050
2024-03-04,1900
2024-03-05,2000
2024-03-05,2100
2024-03-05,1950
2024-03-06,1900
2024-03-06,2150
2024-03-06,2000
2024-03-07,2050
2024-03-07,1980
2024-03-07,1900
2024-03-08,2100
2024-03-08,2200
2024-03-08,1950
2024-03-09,2000
2024-03-09,1900
2024-03-09,2050
2024-03-10,1980
2024-03-10,2000
2024-03-10,2100
2024-03-11,2200
2024-03-11,1950
2024-03-11,2100
2024-03-12,2050
2024-03-12,1900
2024-03-12,2150
2024-03-13,1980
2024-03-13,2050
2024-03-13,1900
2024-03-14,2000
2024-03-14,2100
2024-03-14,1950
2024-03-15,1900
2024-03-15,2150
2024-03-15,2000
2024-03-16,2050
2024-03-16,1980
2024-03-16,1900
2024-03-17,2100
2024-03-17,2200
2024-03-17,1950
2024-03-18,2000
2024-03-18,1900
2024-03-18,2050
2024-03-19,1980
2024-03-19,2000
2024-03-19,2100
2024-03-20,2200
2024-03-20,1950
2024-03-20,2100
2024-03-21,2050
2024-03-21,1900
2024-03-21,2150
2024-03-22,1980
2024-03-22,2050
2024-03-22,1900
2024-03-23,2000
2024-03-23,2100
2024-03-23,1950
2024-03-24,1900
2024-03-24,2150
2024-03-24,2000
2024-03-25,2050
2024-03-25,1980
2024-03-25,1900
2024-03-26,2100
2024-03-26,2200
2024-03-26,1950
2024-03-27,2000
2024-03-27,1900
2024-03-27,2050
2024-03-28,1980
2024-03-28,2000
2024-03-28,2100
2024-03-29,2200
2024-03-29,1950
2024-03-29,2100
2024-03-30,2050
2024-03-30,1900
2024-03-30,2150
2024-03-31,1980
2024-03-31,2050
2024-03-31,1900
2024-04-01,2000
2024-04-01,2100
2024-04-01,1950
2024-04-02,1900
2024-04-02,2150
2024-04-02,2000
2024-04-03,2050
2024-04-03,1980
2024-04-03,1900
2024-04-04,2100
2024-04-04,2200
2024-04-04,1950
2024-04-05,2000
2024-04-05,1900
2024-04-05,2050
2024-04-06,1980
2024-04-06,2000
2024-04-06,2100
2024-04-07,2200
2024-04-07,1950
2024-04-07,2100
2024-04-08,2050
2024-04-08,1900
2024-04-08,2150
2024-04-09,1980
2024-04-09,2050
2024-04-09,1900
2024-04-10,2000
2024-04-10,2100
2024-04-10,1950
2024-04-11,1900
2024-04-11,2150
2024-04-11,2000
2024-04-12,2050
2024-04-12,1980
2024-04-12,1900
2024-04-13,2100
2024-04-13,2200
2024-04-13,1950
2024-04-14,2000
2024-04-14,1900
2024-04-14,2050
2024-04-15,1980
2024-04-15,2000
2024-04-15,2100
2024-04-16,2200
2024-04-16,1950
2024-04-16,2100
2024-04-17,2050
2024-04-17,1900
2024-04-17,2150
2024-04-18,1980
2024-04-18,2050
2024-04-18,1900
2024-04-19,2000
2024-04-19,2100
2024-04-19,1950
2024-04-20,1900
2024-04-20,2150
2024-04-20,2000
2024-04-21,2050
2024-04-21,1980
2024-04-21,1900
2024-04-22,2100
2024-04-22,2200
2024-04-22,1950
2024-04-23,2000
2024-04-23,1900
2024-04-23,2050
2024-04-24,1980
2024-04-24,2000
2024-04-24,2100
2024-04-25,2200
2024-04-25,1950
2024-04-25,2100
2024-04-26,2050
2024-04-26,1900
2024-04-26,2150
2024-04-27,1980
2024-04-27,2050
2024-04-27,1900
2024-04-28,2000
2024-04-28,2100
2024-04-28,1950
2024-04-29,1900
2024-04-29,2150
2024-04-29,2000
2024-04-30,2050
2024-04-30,1980
2024-04-30,1900
2024-05-01,2100
2024-05-01,2200
2024-05-01,1950
2024-05-02,2000
2024-05-02,1900
2024-05-02,2050
2024-05-03,1980
2024-05-03,2000
2024-05-03,2100
2024-05-04,2200
2024-05-04,1950
2024-05-04,2100
2024-05-05,2050
2024-05-05,1900
2024-05-05,2150
2024-05-06,1980
2024-05-06,2050
2024-05-06,1900
2024-05-07,2000
2024-05-07,2100
2024-05-07,1950
2024-05-08,1900
2024-05-08,2150
2024-05-08,2000
2024-05-09,2050
2024-05-09,1980
2024-05-09,1900
2024-05-10,2100
2024-05-10,2200
2024-05-10,1950
2024-05-11,2000
2024-05-11,1900
2024-05-11,2050
2024-05-12,1980
2024-05-12,2000
2024-05-12,2100
2024-05-13,2200
2024-05-13,1950
2024-05-13,2100
2024-05-14,2050
2024-05-14,1980
2024-05-14,1900
2024-05-15,2000
2024-05-15,2100
2024-05-15,1900
2024-05-16,2150
2024-05-16,2000
2024-05-16,1980
2024-05-17,2200
2024-05-17,1950
2024-05-17,2100
2024-05-18,2050
2024-05-18,1900
2024-05-18,2150
2024-05-19,1980
2024-05-19,2050
2024-05-19,1900
2024-05-20,2000
2024-05-20,2100
2024-05-20,1950
2024-05-21,1900
2024-05-21,2150
2024-05-21,2000
2024-05-22,2050
2024-05-22,1980
2024-05-22,1900
2024-05-23,2100
2024-05-23,2200
2024-05-23,1950
2024-05-24,2000
2024-05-24,1900
2024-05-24,2050
2024-05-25,1980
2024-05-25,2000
2024-05-25,2100
2024-05-26,2200
2024-05-26,1950
2024-05-26,2100
2024-05-27,2050
2024-05-27,1900
2024-05-27,2150
2024-05-28,1980
2024-05-28,2050
2024-05-28,1900
2024-05-29,2000
2024-05-29,2100
2024-05-29,1950
2024-05-30,1900
2024-05-30,2150
2024-05-30,2000
2024-05-31,2050
2024-05-31,1980
2024-05-31,1900
2024-06-01,2100
2024-06-01,2200
2024-06-01,1950
2024-06-02,2000
2024-06-02,1900
2024-06-02,2050
2024-06-03,1980
2024-06-03,2000
2024-06-03,2100
2024-06-04,2200
2024-06-04,1950
2024-06-04,2100
2024-06-05,2050
2024-06-05,1900
2024-06-05,2150
2024-06-06,1980
2024-06-06,2050
2024-06-06,1900
2024-06-07,2000
2024-06-07,2100
2024-06-07,1950
2024-06-08,1900
2024-06-08,2150
2024-06-08,2000
2024-06-09,2050
2024-06-09,1980
2024-06-09,1900
2024-06-10,2100
2024-06-10,2200
2024-06-10,1950
2024-06-11,2000
2024-06-11,1900
2024-06-11,2050
2024-06-12,1980
2024-06-12,2000
2024-06-12,2100
2024-06-13,2200
2024-06-13,1950
2024-06-13,2100
2024-06-14,2050
2024-06-14,1980
2024-06-14,1900
2024-06-15,2000
2024-06-15,2100
2024-06-15,1900
2024-06-16,2150
2024-06-16,2000
2024-06-16,1980
2024-06-17,2200
2024-06-17,1950
2024-06-17,2100
2024-06-18,2050
2024-06-18,1900
2024-06-18,2150
2024-06-19,1980
2024-06-19,2050
2024-06-19,1900
2024-06-20,2000
2024-06-20,2100
2024-06-20,1950
2024-06-21,1900
2024-06-21,2150
2024-06-21,2000
2024-06-22,2050
2024-06-22,1980
2024-06-22,1900
2024-06-23,2100
2024-06-23,2200
2024-06-23,1950
2024-06-24,2000
2024-06-24,1900
2024-06-24,2050
2024-06-25,1980
2024-06-25,2000
2024-06-25,2100
2024-06-26,2200
2024-06-26,1950
2024-06-26,2100
2024-06-27,2050
2024-06-27,1900
2024-06-27,2150
2024-06-28,1980
2024-06-28,2050
2024-06-28,1900
2024-06-29,2000
2024-06-29,2100
2024-06-29,1950
2024-06-30,1900
2024-06-30,2150
2024-06-30,2000
2024-07-01,2050
2024-07-01,1980
2024-07-01,1900
2024-07-02,2100
2024-07-02,2200
2024-07-02,1950
2024-07-03,2000
2024-07-03,1900
2024-07-03,2050
2024-07-04,1980
2024-07-04,2000
2024-07-04,2100
2024-07-05,2200
2024-07-05,1950
2024-07-05,2100
2024-07-06,2050
2024-07-06,1900
2024-07-06,2150
2024-07-07,1980
2024-07-07,2050
2024-07-07,1900
2024-07-08,2000
2024-07-08,2100
2024-07-08,1950
2024-07-09,1900
2024-07-09,2150
2024-07-09,2000
2024-07-10,2050
2024-07-10,1980
2024-07-10,1900
2024-07-11,2100
2024-07-11,2200
2024-07-11,1950
2024-07-12,2000
2024-07-12,1900
2024-07-12,2050
2024-07-13,1980
2024-07-13,2000
2024-07-13,2100
2024-07-14,2200
2024-07-14,1950
2024-07-14,2100
2024-07-15,2050
2024-07-15,1900
2024-07-15,2150
2024-07-16,1980
2024-07-16,2050
2024-07-16,1900
2024-07-17,2000
2024-07-17,2100
2024-07-17,1950
2024-07-18,1900
2024-07-18,2150
2024-07-18,2000
2024-07-19,2050
2024-07-19,1980
2024-07-19,1900
2024-07-20,2100
2024-07-20,2200
2024-07-20,5950
2024-07-21,2000
2024-07-21,1900
2024-07-21,2050
2024-07-22,1980
2024-07-22,2000
2024-07-22,2100
2024-07-23,2200
2024-07-23,1950
2024-07-23,2100
2024-07-24,2050
2024-07-24,1980
2024-07-24,1900
2024-07-25,2000
2024-07-25,2100
2024-07-25,1950
